user_id,text_id,text,timestamp,collection_phase,is_words,valence,arousal,state_change_valence,state_change_arousal,feelings,feelings_text
1,200,"I feel good .   I caught up on some sleep . Work went well for me . I’m very relaxed and happy . I did have sone alcoholic beverages , but i spread them out throughout the day . I was never overly intoxicated .",2021-06-09 12:41:57,1,False,2.0,1.0,0.0,0.0,"['Happy', 'Relaxed', 'Content', 'Rested', 'Calm']","I feel good .   I caught up on some sleep . Work went well for me . I’m very relaxed and happy . I did have sone alcoholic beverages , but i spread them out throughout the day . I was never overly intoxicated ."
1,201,I’ve been feeling good for days and days . I really have a normal Routine .   I probably am happy because if my meth usage . Yea I smoke up a fat bowl of crystal then fuck my girlfriend . Oh yea baby oh yea !!!,2021-06-11 12:01:45,1,False,2.0,1.0,-2.0,0.0,"['Good', 'Happy', 'Euphoric', 'Content', 'Excited']",I’ve been feeling good for days and days . I really have a normal Routine .   I probably am happy because if my meth usage . Yea I smoke up a fat bowl of crystal then fuck my girlfriend . Oh yea baby oh yea !!!
1,202,"I’ve been feeling fine personally . I’ve been trying to stay positive , but because of the tragedic events of yesterday it’s been very hard to do . Business at the bar sucked because sone many ppl didn’t come out last night . I feel like I’m cursed because there has been one event after another that has severely effected business .",2021-06-13 13:15:07,1,False,0.0,1.0,2.0,0.0,"['Fine', 'Positive', 'Sad', 'Anxious', 'Stressed', 'Disappointed', 'Frustrated']","I’ve been feeling fine personally . I’ve been trying to stay positive , but because of the tragedic events of yesterday it’s been very hard to do . Business at the bar sucked because sone many ppl didn’t come out last night . I feel like I’m cursed because there has been one event after another that has severely effected business ."
1,203,"I feel great . I’ve had a day off . I’m going to go to my mom’s birthday . I love having dinner with my mom . She always treats me , but tonight I think I’ll treat her .   So I’m not sure if that maters . I’m just say that because it makes me feel happy to be having dinner with my mom .",2021-06-16 12:03:12,1,False,2.0,1.0,0.0,1.0,"['Great', 'Happy', 'Appreciative', 'Uncertain']","I feel great . I’ve had a day off . I’m going to go to my mom’s birthday . I love having dinner with my mom . She always treats me , but tonight I think I’ll treat her .   So I’m not sure if that maters . I’m just say that because it makes me feel happy to be having dinner with my mom ."
1,204,"I feel great today . I am well rested . I have a positive attitude about how the rest of the day will go . I feel energized , so work today should be great .    I don’t think that my mood will change . I’m very stable right now .",2021-06-17 12:38:38,1,False,2.0,2.0,,,"['Great', 'Well‑rested', 'Positive', 'Energized', 'Stable']","I feel great today . I am well rested . I have a positive attitude about how the rest of the day will go . I feel energized , so work today should be great .    I don’t think that my mood will change . I’m very stable right now ."
4,279,"Motivated , Friendly , Attentive , Anxious , Overwhelmed",2021-06-11 13:42:03,1,True,1.0,0.0,0.0,1.0,"['Motivated', 'Friendly', 'Attentive', 'Anxious', 'Overwhelmed']","The person feels energized and engaged, displaying motivation, friendliness, and attentiveness that suggest a positive, high‑energy state. At the same time, anxiety and overwhelm inject tension, creating a high‑arousal mix that leans toward negative emotional strain."
4,280,"Active , Competitive , Nostalgic , Sociable , Nervous",2021-06-12 19:43:30,1,True,1.0,1.0,0.0,-1.0,"['Active', 'Competitive', 'Nostalgic', 'Sociable', 'Nervous']","They feel highly energized and eager to engage, their competitive spirit and social drive pushing them forward with vivid enthusiasm. Beneath that, a wistful, nostalgic tone softens some of the excitement, while a thread of nervousness injects tension into their day. Overall, the emotional profile is one of high arousal, largely positive but tinged with a bit of anxiety."
4,281,"Anxious , Nervous , Tired , Overwhelmed , Positive",2021-06-13 14:06:41,1,True,1.0,0.0,1.0,0.0,"['Anxious', 'Nervous', 'Tired', 'Overwhelmed', 'Positive']","The person feels a restless, high‑arousal mix of anxiety and nervousness, compounded by an overwhelming sense of pressure that keeps their emotions on a tight edge. At the same time, a thread of positivity threads through the storm, offering a glimmer of hope that tempers the raw tension. The fatigue that underlies these feelings pulls the arousal down, leaving the individual caught between a drained, low‑energy state and an intense, urgent emotional surge."
4,282,"Stressed , Overtired , Overworked , Impatient , Hungry",2021-06-14 14:01:15,1,True,2.0,0.0,-2.0,1.0,"['Stressed', 'Overtired', 'Overworked', 'Impatient', 'Hungry']","They feel overwhelmed and exhausted, the relentless pressure of work pushing them to a high‑energy, high‑stress state.  The chronic fatigue and hunger only intensify the impatience, leaving them emotionally drained yet constantly on edge."
4,283,"Frustrated , Stuck , Unfulfilled , Angry , Anxious",2021-06-15 12:03:56,1,True,0.0,1.0,-2.0,1.0,"['Frustrated', 'Stuck', 'Unfulfilled', 'Angry', 'Anxious']","The individual is in a highly charged, negative emotional state, feeling frustrated and angry. They sense being stuck and unfulfilled, which amplifies the tension and leaves them in a state of anxious agitation. Overall, the mood is intense and unsettled, with little sense of relief or contentment."
4,284,"Nervous , Anxious , Overwhelmed , Over worked , Tired",2021-06-16 12:24:40,1,True,-2.0,2.0,2.0,-1.0,"['Nervous', 'Anxious', 'Overwhelmed', 'Over worked', 'Tired']","The person feels tense and anxious, overwhelmed by a heavy workload that casts a distinctly negative mood. Their arousal level is high—filled with worry and restlessness—while the constant effort is also draining them, pulling toward low energy. Overall, they are in a state of stressed exhaustion, struggling to find any calm."
4,285,"Relaxed , Outgoing , Cheerful , Attentive , Aware",2021-06-17 14:02:11,1,True,0.0,1.0,0.0,0.0,"['Relaxed', 'Outgoing', 'Cheerful', 'Attentive', 'Aware']","They feel buoyant and sociable, radiating cheerfulness while remaining relaxed and alert. Their positive mood is coupled with a lively, attentive awareness of their surroundings, suggesting a healthy, energetic state."
4,286,"Stressed , Overwhelmed , Anxious , Fearful , Confused",2021-06-18 13:58:56,1,True,0.0,1.0,,,"['Stressed', 'Overwhelmed', 'Anxious', 'Fearful', 'Confused']","The person is caught in a swirl of negative emotions—stressed, overwhelmed, anxious, fearful, and confused—creating a sense of relentless urgency. Their arousal level is high, as they feel constantly on edge and unable to find calm. This emotional cocktail leaves them feeling stuck and uncertain, with a pervasive sense of distress and anxiety."
6,307,"Tired , Calm , Exhausted , Happy , Content",2022-02-12 22:19:32,2,True,2.0,0.0,-1.0,2.0,"['Tired', 'Calm', 'Exhausted', 'Happy', 'Content']","They feel happy and content, giving their mood a distinctly positive valence. At the same time, exhaustion and tiredness keep their energy low, settling them into a calm, low‑arousal state. The result is a pleasant yet lethargic emotional landscape."
6,308,"Calm , Relaxed , Happy , Focused , Hungry",2022-02-13 20:21:12,2,True,1.0,2.0,-1.0,-1.0,"['Calm', 'Relaxed', 'Happy', 'Focused', 'Hungry']","The individual feels calm and relaxed, exuding a gentle, positive vibe that eases tension. At the same time, they’re upbeat and happy, with a sharp focus that raises their alertness. The lingering sensation of hunger injects a mild urgency, adding a subtle layer of restlessness to an otherwise balanced, moderately aroused emotional state."
6,309,"Frustrated , Angry , Tired , Hungry , Excited",2022-02-14 20:51:50,2,True,0.0,1.0,1.0,1.0,"['Frustrated', 'Angry', 'Tired', 'Hungry', 'Excited']","The person is caught between high‑arousal negative emotions—frustration and anger that make them feel agitated—and lower‑arousal states like tiredness and hunger that sap their energy. At the same time, a burst of excitement injects a fleeting positive spark into the mix. Overall, their mood feels tense and energetic, yet drained and somewhat hungry."
