user_id,text_id,text,timestamp,valence,arousal,group,disposition_change_valence,disposition_change_arousal,feelings,feelings_text
1,200,"I feel good .   I caught up on some sleep . Work went well for me . I’m very relaxed and happy . I did have sone alcoholic beverages , but i spread them out throughout the day . I was never overly intoxicated .",2021-06-09 12:41:57,2.0,1.0,1,0.6666666666666667,0.5,"['Happy', 'Relaxed', 'Content', 'Rested', 'Calm']","I feel good .   I caught up on some sleep . Work went well for me . I’m very relaxed and happy . I did have sone alcoholic beverages , but i spread them out throughout the day . I was never overly intoxicated ."
1,201,I’ve been feeling good for days and days . I really have a normal Routine .   I probably am happy because if my meth usage . Yea I smoke up a fat bowl of crystal then fuck my girlfriend . Oh yea baby oh yea !!!,2021-06-11 12:01:45,2.0,1.0,1,0.6666666666666667,0.5,"['Good', 'Happy', 'Euphoric', 'Content', 'Excited']",I’ve been feeling good for days and days . I really have a normal Routine .   I probably am happy because if my meth usage . Yea I smoke up a fat bowl of crystal then fuck my girlfriend . Oh yea baby oh yea !!!
1,202,"I’ve been feeling fine personally . I’ve been trying to stay positive , but because of the tragedic events of yesterday it’s been very hard to do . Business at the bar sucked because sone many ppl didn’t come out last night . I feel like I’m cursed because there has been one event after another that has severely effected business .",2021-06-13 13:15:07,0.0,1.0,1,0.6666666666666667,0.5,"['Fine', 'Positive', 'Sad', 'Anxious', 'Stressed', 'Disappointed', 'Frustrated']","I’ve been feeling fine personally . I’ve been trying to stay positive , but because of the tragedic events of yesterday it’s been very hard to do . Business at the bar sucked because sone many ppl didn’t come out last night . I feel like I’m cursed because there has been one event after another that has severely effected business ."
1,203,"I feel great . I’ve had a day off . I’m going to go to my mom’s birthday . I love having dinner with my mom . She always treats me , but tonight I think I’ll treat her .   So I’m not sure if that maters . I’m just say that because it makes me feel happy to be having dinner with my mom .",2021-06-16 12:03:12,2.0,1.0,2,0.6666666666666667,0.5,"['Great', 'Happy', 'Appreciative', 'Uncertain']","I feel great . I’ve had a day off . I’m going to go to my mom’s birthday . I love having dinner with my mom . She always treats me , but tonight I think I’ll treat her .   So I’m not sure if that maters . I’m just say that because it makes me feel happy to be having dinner with my mom ."
1,204,"I feel great today . I am well rested . I have a positive attitude about how the rest of the day will go . I feel energized , so work today should be great .    I don’t think that my mood will change . I’m very stable right now .",2021-06-17 12:38:38,2.0,2.0,2,0.6666666666666667,0.5,"['Great', 'Well‑rested', 'Positive', 'Energized', 'Stable']","I feel great today . I am well rested . I have a positive attitude about how the rest of the day will go . I feel energized , so work today should be great .    I don’t think that my mood will change . I’m very stable right now ."
2,23,"Productive , Tired , Active , Pleased , Busy",2021-06-08 15:11:55,0.0,2.0,1,-0.1587078651685394,-0.1890960163432073,"['Productive', 'Tired', 'Active', 'Pleased', 'Busy']","The individual feels energized and productive, staying active and pleased with their accomplishments. Yet, the simultaneous fatigue and busyness suggest a high‑arousal but somewhat exhausted state."
2,24,"Productive , Busy , Content",2021-06-11 17:10:13,0.0,2.0,1,-0.1587078651685394,-0.1890960163432073,"['Productive', 'Busy', 'Content']","The person feels energized and engaged, staying productive and busy in their activities. Despite the high arousal, they also sense a satisfying sense of contentment, making the overall mood positive and upbeat."
2,25,"Relaxed , Content , Comfy , Happy , Calm",2021-06-15 16:35:44,2.0,0.0,1,-0.1587078651685394,-0.1890960163432073,"['Relaxed', 'Content', 'Comfy', 'Happy', 'Calm']","They feel relaxed and content, a calm sense of ease envelops them. The comfort is palpable, making them feel cozy and at peace. Overall, their happiness is gentle and low in arousal, reflecting a tranquil, soothing state."
2,22,"Productive , Relaxed , Happy , Content",2021-06-18 15:36:22,2.0,1.0,1,-0.1587078651685394,-0.1890960163432073,"['Productive', 'Relaxed', 'Happy', 'Content']","The person feels productive and engaged, yet remains relaxed and content, balancing a sense of accomplishment with a calm demeanor. Overall, they are in a positive mood, experiencing both a mild excitement from productivity and a peaceful, low‑arousal state."
2,34,"Relaxed , Rested , Happy , Pleased , Content",2022-02-11 12:51:15,2.0,0.0,1,-0.1587078651685394,-0.1890960163432073,"['Relaxed', 'Rested', 'Happy', 'Pleased', 'Content']","""The person feels content and genuinely satisfied, with a calm, restful atmosphere surrounding them. Their emotions are largely positive—relaxed, happy, and pleased—yet the overall arousal remains low, reflecting a gentle, peaceful state of mind."""
