user_id,text_id,text,timestamp,collection_phase,is_words,valence,arousal,emotions,sentiment,irony,topic,emoji,emotion
7,347,I have been feeling somewhat down . I am trying to be more productive and get things done . I am having trouble finding the energy and motivation . I can ' t type any more characters . I ' m pretty sure this is over 200 .,2021-03-11 12:10:58,1,False,-1.0,0.0,"sadness, pessimism",negative or neutral,non_irony,diaries_&_daily_life,unknown,"sadness, pessimism"
7,348,The last day has been much better than yesterday . Friends surprised with visit and we had a late night get together . My schedule at work changed to a more consistent schedule . What a relief ! This 200 character minimum is very frustrating .,2021-03-12 12:43:39,1,False,1.0,2.0,joy,positive,irony,diaries_&_daily_life,unknown,"joy, anger, optimism"
10,407,"Tired , Exhausted , Calm , Content , Happy",2021-06-09 12:11:03,1,True,-1.0,0.0,"joy, optimism",positive,non_irony,diaries_&_daily_life,unknown,"joy, optimism"
10,408,"Content , Calm , Sleepy , Lazy , Relaxed",2021-06-10 17:08:20,1,True,2.0,0.0,"joy, sadness",positive,non_irony,diaries_&_daily_life,unknown,"joy, optimism"
10,409,"Content , Calm , Relaxed , Happy",2021-06-11 12:03:33,1,True,2.0,0.0,"joy, optimism",positive,non_irony,diaries_&_daily_life,unknown,"joy, optimism"
10,410,"Calm , Content , Happy , Relaxed",2021-06-11 17:18:21,1,True,2.0,1.0,"joy, optimism",positive,non_irony,diaries_&_daily_life,✨,"joy, optimism"
17,972,"I feel pretty good , a little tired . I didn’t get home until midnight and right back at it this morning .   Ready to get my shift over for the day . I have two shifts left and I have the next two days off . I’m anxious , but ready .",2021-06-12 12:19:10,1,False,1.0,2.0,"joy, fear",positive,non_irony,diaries_&_daily_life,😬,"fear, joy, optimism"
17,973,"I hate my job . I hate people at times . I just wanna go home . I don’t understand hope they Think we can manage without a break , all day long . Especially me being 46   years old   I just need a new job . A new profession . I can’t do this right now .",2021-06-12 17:32:25,1,False,-2.0,1.0,"anger, disgust, sadness",negative,non_irony,diaries_&_daily_life,😡🤬,"anger, disgust, sadness"
17,974,"I feel okay today , but of course I’m off today . I wanted a drink last night , to be honest , but I never drank one . Yesterday was a long , bad day . I just went to bed instead , and got a good nights rest . I feel so much better today",2021-06-13 12:16:35,1,False,0.0,1.0,"sadness, optimism",positive,non_irony,"food_&_dining, diaries_&_daily_life",😊,"sadness, optimism"
17,975,"I feel a lot better today . I got a good nights rest last night . After a super long , terrible day . Of course I’m off today . So that helps . A lot . Sometimes I like my job , but sometimes not . But I love my days off .",2021-06-13 17:05:56,1,False,-1.0,0.0,"optimism, joy",positive,non_irony,diaries_&_daily_life,😊,"joy, optimism"
17,976,"I’m okay today . Today is my day off . I’m not looking forward to tomorrow , with the exception that they owe me money , and I can get that . I work a double tomorrow and I’m not looking forward to dealing with the people .",2021-06-14 12:08:34,1,False,-2.0,0.0,sadness,negative or neutral,non_irony,diaries_&_daily_life,😑😒,"anger, disgust, sadness"
17,977,"I feel kind of down . Money has a lot to do with it . I need money so bad , and I feel like I’m not making any lately to account to anything . I feel under paid and under appreciated . I’m not looking forward to work tomorrow . I work a double . Yaaay",2021-06-14 17:35:57,1,False,-2.0,0.0,"sadness, pessimism",negative or neutral,non_irony,diaries_&_daily_life,😞,"sadness, pessimism, fear"
17,978,"I am tired . I don’t feel good this evening . I worked this morning . It wasn’t that bad , but I did leave for the evening instead of working my double . I just wasn’t feeling well , my legs and my back were hurting really Bad . Overall , my shift was good though . Just tired . And hurting .",2021-06-15 22:03:14,1,False,-1.0,1.0,"sadness, pessimism",negative or neutral,non_irony,diaries_&_daily_life,unknown,"sadness, disgust, pessimism"
17,979,"I feel okay right now . Of course my shift is fixing to start , so we will see in a few hours how I’m feeling . Hopefully the shift and the people won’t be that bad . I’m pretty happy/content at the moment and feeling okay today .",2021-06-16 12:36:09,1,False,2.0,0.0,"optimism, joy, anticipation",positive,non_irony,diaries_&_daily_life,unknown,"joy, optimism"
17,980,"Today hasn’t been so bad . I didn’t really make a lot , which sucks , but it is what it is . I’m in a pretty good mood and feel pretty good . Today has been okay . My people were all pretty nice . Just wish there was more money .",2021-06-16 17:50:43,1,False,1.0,1.0,"optimism, joy, sadness",positive,non_irony,diaries_&_daily_life,unknown,"joy, optimism"
17,981,"I feel good . I’m off this evening . I’ve been off the last two days , besides working this morning , and then this evening off . That does good for my mentality , and with dealing with the public . Sometimes it’s hard to do , deal with people . Then others , they can be really sweet and nice . But overall I feel good right now .",2021-06-16 22:44:13,1,False,1.0,0.0,"joy, optimism",positive,non_irony,diaries_&_daily_life,👍,"joy, optimism"
17,1000,"I’m hungry and broke . Studying for college at the moment . But I’m content , besides being hungry . I have to work later , which bums me out , but I need the money .   I’m a pretty positive person though , things will look up .",2022-01-25 10:01:40,2,False,1.0,0.0,"sadness, joy",positive,non_irony,"diaries_&_daily_life, learning_&_educational",unknown,"optimism, sadness, joy"
17,1001,I’m very tired . Don’t feel good at all . I do not want to go to work . I would rather sit home . I just do not feel good today . I felt a lot better earlier . Worried about bills . Money . I need money Bad .,2022-01-25 15:05:12,2,False,-2.0,0.0,"sadness, pessimism, disgust",negative,non_irony,diaries_&_daily_life,😞,"sadness, fear, pessimism"
17,1002,"I’m at work . Things are going pretty good I guess . I thought it was going to be slow , but it picked up some , so that is good . I’m broke , I need the money , and that stresses me out , bad . Other than that , my mind is clear at the moment . Although I am worried about a couple things , they aren’t bothering me at the moment . Probably because I’m at work .",2022-01-25 20:03:39,2,False,0.0,1.0,"fear, sadness",negative or neutral,non_irony,diaries_&_daily_life,👍,"fear, optimism, sadness"
17,1003,"So this morning I had school . Biology so far . That Shìt messed with my mind ! I’m not good with science . Other than that , I am good today . I feel okay and have a pretty good outlook so far today . Work tonight after school , not looking forward to that with the exception of I need money .",2022-01-26 10:39:06,2,False,1.0,1.0,"fear, joy, optimism",negative,non_irony,"learning_&_educational, youth_&_student_life",unknown,"anger, sadness, disgust"
17,1004,"I feel okay besides hurting . My mental clarity is good right now . I’m not happy or sad , just content I guess . I still don’t want to work tonight but I know I need the money . I’m going to school so if I can get through this , I’ll be good .",2022-01-26 15:22:06,2,False,0.0,1.0,"optimism, joy, sadness",positive,non_irony,diaries_&_daily_life,unknown,"sadness, optimism"
17,1005,"I’m done with work and   mode a little money , so I’m happy about that . I do not need to drink to feel happy or not be   stressed   out . I’m off tomorrow and that also makes me happy . I’m pretty good tonight . Content .",2022-01-26 21:43:55,2,False,1.0,1.0,"joy, optimism",positive,non_irony,diaries_&_daily_life,unknown,"joy, optimism"
17,1006,"I just got up not long ago , no school or work today . I’m off , just need to go work on my school work . So I’m clam , and comment right now . Hurting   a little , but I’m okay . I get to go get my grandson later , he’s2 , so that makes me happy to that I get to spend some time with him . Have a great day !",2022-01-27 10:02:43,2,False,1.0,1.0,"joy, sadness, optimism",positive,non_irony,diaries_&_daily_life,unknown,"joy, sadness, optimism"
17,1007,"My grandson has stayed with me tonight . He’s two and not listening and my head hurts . I’m also trying to study biology . I can say the three do not go together . I just wish my head would quit hurting , and my legs . It’s my night off !! Can I not get a break from life once in a while ?? Why does life have to be so damned hard at times ??",2022-01-27 20:01:40,2,False,-2.0,0.0,"sadness, anger, disgust",negative,non_irony,"diaries_&_daily_life, family",😡,"sadness, anger, disgust"
17,1008,"I’m trying to do homework , I have a Paper due this Somali that I’m working on . It’s going well , so far . So that helps with my sanity . lol . I’m okay , as far as right now . I have to work tonight , not looking forward to that with the exception that I need money , so I’ll make it through it . Maybe not happy , until I get off , but I’ll get more money for my bills and such . That does a lot for my mental stability .",2022-01-28 10:02:36,2,False,1.0,0.0,"joy, optimism",positive,non_irony,"learning_&_educational, diaries_&_daily_life",unknown,"joy, optimism"
17,1009,"I don’t feel good . Mentally and physically . I’m hurting bad and tired as hell . Still got to work . Still got to have that money to pay my bills . I was I was rich sometimes , not all   the time . Sometimes I’m content , sometimes , it would just be easier to gave money . Thinks will look up",2022-01-28 15:20:22,2,False,-1.0,0.0,"sadness, pessimism",negative or neutral,non_irony,diaries_&_daily_life,unknown,"sadness, pessimism"
17,1010,"My head hurts . That makes everything bad . I didn’t have to work tonight , they sent me home as extra . I needed to stay and work , I needed the money . But at the same time , I was happy to go cause I don’t feel good at all . I’m not sick , just getting old sucks .",2022-01-28 20:00:59,2,False,-2.0,0.0,"sadness, disgust, anger",negative,non_irony,diaries_&_daily_life,😞,"sadness, anger, disgust"
17,1011,"I feel pretty good this morning and I’m at work . We will see how things go today . On how I feel later , and tonight . I have to work a double , so tonight too . But then I’m off for two days , so hopefully they show me to stay for both shifts , cause I need the money . Overall , I’m content and calm right now .",2022-01-29 10:19:50,2,False,2.0,0.0,"optimism, joy, anticipation",positive,non_irony,diaries_&_daily_life,😊,"joy, optimism"
17,1012,"I still feel okay right now . Hopefully I continue to through work tonight . I have a lot on my mind right now . Stuff going on with my house , they see trying to take it because I was late through COVID . I owe nothing , but she still wants it back . I’m up to date with my payment . I don’t get it and that messes with my head , I’d like to know why !!!",2022-01-29 16:34:41,2,False,1.0,0.0,"sadness, fear",negative or neutral,non_irony,diaries_&_daily_life,😡🤬,"fear, sadness"
17,1013,"I’m At work . It’s busy . Making a little cash , so that’s a good thing . I’m feeling okay tonight . Just worried about my house really . And money . It’s been slack here lately . But January is always bad . It’ll get better though . Won’t always be bad",2022-01-29 20:35:08,2,False,0.0,1.0,"optimism, fear, joy",negative or neutral,non_irony,diaries_&_daily_life,unknown,"optimism, fear, joy"
17,1014,"I don’t feel that bad , yet . I get so tired of not feeling good . Getting old sucks ass !! I’m trying to work on school work , not really getting anywhere but I have a couple of things due today , and something due by the first that I need to work on today . I have school first thing in the morning , so I can not do it then . I’ll just have to trudge away at it today .",2022-01-30 10:12:37,2,False,0.0,1.0,"sadness, anger, disgust",negative or neutral,non_irony,"learning_&_educational, diaries_&_daily_life",unknown,"sadness, anger, disgust"
17,1015,"I’m trying to study . My legs are hurting , but I’m trying to move past that thought . I just need to accept that I’m going to hurt and most days I don’t feel good , I guess . If it isn’t one thing , it’s another ! A headache , or I’m tired , or my legs hurt , it’s always something ! Other than that , mentally I’m okay . I’m off today and my boyfriend is home too .",2022-01-30 15:01:33,2,False,1.0,0.0,"sadness, optimism",negative or neutral,non_irony,diaries_&_daily_life,unknown,"sadness, optimism"
17,1016,"I don’t feel good , again . I get so tired of this Shìt ! My legs are hurting so bad ! They have since I was little though and I’m46 , you think I would be used to it by now . But I’m not . I get so tired of feeling bad . I’m miserable . I just hate to feel like this .",2022-01-30 20:01:21,2,False,-2.0,0.0,"sadness, anger, disgust",negative,non_irony,diaries_&_daily_life,😞,"sadness, anger, disgust, pessimism"
17,1017,"I’m in school . I’m On break at the moment . 5 minutes . lol . Anyway , I feel okay right now . Just need to study this biology , because most of it I do not get . That makes me nervous about passing the class !!! But I’m trying . Hopefully I feel okay today . No work , so there’s that . Still worried about my home . That won’t stop until I know what’s going on .",2022-01-31 10:16:26,2,False,1.0,1.0,"fear, optimism",negative or neutral,non_irony,"diaries_&_daily_life, learning_&_educational",unknown,"fear, optimism"
17,1018,My head hurts and I’m trying to study . Not working too well . I guess I couldn’t have felt good all day ? Is that too much to ask ? That I feel okay every now and again ? Life sucks sometimes ! I wish I were rich and felt good . Then things would not be so hard .,2022-01-31 20:13:35,2,False,0.0,1.0,"sadness, disgust, pessimism, anger",negative,non_irony,diaries_&_daily_life,😞😔,"sadness, anger, disgust"
17,1019,"I just got off work . I actually feel okay for once . And I went to school today too . I’m surprised . Still worried about my house . But this too shall pass , right ? I’m content tonight . For the first time in days .",2022-02-02 21:36:24,2,False,1.0,0.0,"joy, optimism, fear",positive,non_irony,diaries_&_daily_life,☺,"joy, optimism, fear"
